Time;pressure [hPa] #21;;
04.12.2017 09:00;1.023.175.000;;1.023.543.750
04.12.2017 09:05;1.023.175.000;;
04.12.2017 09:10;1.023.025.000;;
04.12.2017 09:15;1.023.175.000;;
04.12.2017 09:20;1.023.325.000;;
04.12.2017 09:25;1.023.325.000;;
04.12.2017 09:30;1.023.175.000;;
04.12.2017 09:35;1.023.200.000;;
04.12.2017 09:40;1.023.325.000;;
04.12.2017 09:45;1.023.175.000;;
04.12.2017 09:50;1.023.325.000;;
04.12.2017 09:55;1.023.325.000;;
04.12.2017 10:00;1.023.325.000;;
04.12.2017 10:05;1.023.350.000;;
04.12.2017 10:10;1.023.475.000;;
04.12.2017 10:15;1.023.450.000;;
04.12.2017 10:20;1.023.475.000;;
04.12.2017 10:25;1.023.650.000;;
04.12.2017 10:30;1.023.650.000;;
04.12.2017 10:35;1.023.800.000;;
04.12.2017 10:40;1.023.800.000;;
04.12.2017 10:45;1.023.800.000;;
04.12.2017 10:50;1.023.950.000;;
04.12.2017 10:55;1.023.825.000;;
04.12.2017 11:00;1.023.950.000;;
04.12.2017 11:05;1.023.800.000;;
04.12.2017 11:10;1.023.775.000;;
04.12.2017 11:15;1.023.950.000;;
04.12.2017 11:20;1.023.950.000;;
04.12.2017 11:25;1.023.925.000;;
04.12.2017 11:30;1.023.950.000;;
04.12.2017 11:35;1.023.825.000;;
