Time;pressure [hPa] #21;;
20.04.2017 09:59;1.032.075.000;;1.031.961.905
20.04.2017 10:04;1.032.200.000;;
20.04.2017 10:09;1.032.075.000;;
20.04.2017 10:14;1.032.050.000;;
20.04.2017 10:19;1.032.175.000;;
20.04.2017 10:24;1.032.200.000;;
20.04.2017 10:29;1.032.200.000;;
20.04.2017 10:34;1.032.050.000;;
20.04.2017 10:39;1.032.000.000;;
20.04.2017 10:44;1.032.000.000;;
20.04.2017 10:49;1.032.050.000;;
20.04.2017 10:54;1.031.925.000;;
20.04.2017 10:59;1.031.875.000;;
20.04.2017 11:04;1.031.725.000;;
20.04.2017 11:09;1.031.725.000;;
20.04.2017 11:14;1.031.875.000;;
20.04.2017 11:19;1.031.775.000;;
20.04.2017 11:24;1.031.875.000;;
20.04.2017 11:29;1.031.775.000;;
20.04.2017 11:34;1.031.850.000;;
20.04.2017 11:39;1.031.725.000;;
