Time;pressure [hPa] #21;;
09.05.2017 08:50;1.016.475.000;;1.016.215.152
09.05.2017 08:55;1.016.475.000;;
09.05.2017 09:00;1.016.475.000;;
09.05.2017 09:05;1.016.325.000;;
09.05.2017 09:10;1.016.475.000;;
09.05.2017 09:15;1.016.475.000;;
09.05.2017 09:20;1.016.325.000;;
09.05.2017 09:25;1.016.175.000;;
09.05.2017 09:30;1.016.325.000;;
09.05.2017 09:35;1.016.475.000;;
09.05.2017 09:40;1.016.325.000;;
09.05.2017 09:45;1.016.325.000;;
09.05.2017 09:50;1.016.500.000;;
09.05.2017 09:55;1.016.325.000;;
09.05.2017 10:00;1.016.475.000;;
09.05.2017 10:05;1.016.300.000;;
09.05.2017 10:10;1.016.175.000;;
09.05.2017 10:15;1.016.175.000;;
09.05.2017 10:20;1.016.300.000;;
09.05.2017 10:25;1.016.025.000;;
09.05.2017 10:30;1.016.300.000;;
09.05.2017 10:35;1.016.025.000;;
09.05.2017 10:40;1.016.175.000;;
09.05.2017 10:45;1.016.175.000;;
09.05.2017 10:50;1.016.150.000;;
09.05.2017 10:55;1.016.150.000;;
09.05.2017 11:00;1.016.025.000;;
09.05.2017 11:05;1.016.025.000;;
09.05.2017 11:10;1.015.850.000;;
09.05.2017 11:15;1.015.850.000;;
09.05.2017 11:20;1.016.000.000;;
09.05.2017 11:25;1.015.725.000;;
09.05.2017 11:30;1.015.725.000;;
