Time;pressure [hPa] #21;;
21.05.2017 10:40;1.023.950.000;;
21.05.2017 10:45;1.023.950.000;;1.023.028.191
21.05.2017 10:50;1.023.950.000;;
21.05.2017 10:55;1.023.950.000;;
21.05.2017 11:00;1.023.950.000;;
21.05.2017 11:05;1.023.800.000;;
21.05.2017 11:10;1.023.825.000;;
21.05.2017 11:15;1.023.800.000;;
21.05.2017 11:20;1.023.825.000;;
21.05.2017 11:25;1.023.650.000;;
21.05.2017 11:30;1.023.825.000;;
21.05.2017 11:35;1.023.475.000;;
21.05.2017 11:40;1.023.675.000;;
21.05.2017 11:45;1.023.675.000;;
21.05.2017 11:50;1.023.350.000;;
21.05.2017 11:55;1.023.350.000;;
21.05.2017 12:00;1.023.500.000;;
21.05.2017 12:05;1.023.325.000;;
21.05.2017 12:10;1.023.325.000;;
21.05.2017 12:15;1.023.175.000;;
21.05.2017 12:20;1.023.175.000;;
21.05.2017 12:25;1.023.175.000;;
21.05.2017 12:30;1.022.875.000;;
21.05.2017 12:35;1.022.875.000;;
21.05.2017 12:40;1.022.875.000;;
21.05.2017 12:45;1.022.850.000;;
21.05.2017 12:50;1.022.750.000;;
21.05.2017 12:55;1.022.875.000;;
21.05.2017 13:00;1.022.850.000;;
21.05.2017 13:05;1.022.875.000;;
21.05.2017 13:10;1.022.850.000;;
21.05.2017 13:15;1.022.725.000;;
21.05.2017 13:20;1.022.725.000;;
21.05.2017 13:25;1.022.550.000;;
21.05.2017 13:30;1.022.575.000;;
21.05.2017 13:35;1.022.425.000;;
21.05.2017 13:40;1.022.425.000;;
21.05.2017 13:45;1.022.400.000;;
21.05.2017 13:50;1.022.250.000;;
21.05.2017 13:55;1.021.950.000;;
21.05.2017 14:00;1.022.250.000;;
21.05.2017 14:05;1.022.100.000;;
21.05.2017 14:10;1.022.100.000;;
21.05.2017 14:15;1.022.250.000;;
21.05.2017 14:20;1.022.075.000;;
21.05.2017 14:25;1.022.100.000;;
21.05.2017 14:30;1.022.075.000;;
