Time;pressure [hPa] #21;;
28.02.2017 12:44;989.250.000;;987.991.667
28.02.2017 12:49;989.425.000;;
28.02.2017 12:54;989.100.000;;
28.02.2017 12:59;989.100.000;;
28.02.2017 13:04;989.100.000;;
28.02.2017 13:09;989.100.000;;
28.02.2017 13:14;989.250.000;;
28.02.2017 13:19;989.100.000;;
28.02.2017 13:24;988.950.000;;
28.02.2017 13:29;988.625.000;;
28.02.2017 13:34;988.475.000;;
28.02.2017 13:39;988.325.000;;
28.02.2017 13:44;988.025.000;;
28.02.2017 13:49;988.025.000;;
28.02.2017 13:54;987.850.000;;
28.02.2017 13:59;987.850.000;;
28.02.2017 14:04;987.700.000;;
28.02.2017 14:09;987.700.000;;
28.02.2017 14:14;987.400.000;;
28.02.2017 14:19;987.550.000;;
28.02.2017 14:24;987.400.000;;
28.02.2017 14:29;987.075.000;;
28.02.2017 14:34;987.075.000;;
28.02.2017 14:39;987.075.000;;
28.02.2017 14:44;986.925.000;;
28.02.2017 14:49;986.925.000;;
28.02.2017 14:54;986.925.000;;
28.02.2017 14:59;986.750.000;;
28.02.2017 15:04;986.925.000;;
28.02.2017 15:09;986.775.000;;
