Time;pressure [hPa] #21;;
14.04.2017 09:44;1.013.375.000;;1.013.051.389
14.04.2017 09:49;1.013.525.000;;
14.04.2017 09:54;1.013.375.000;;
14.04.2017 09:59;1.013.525.000;;
14.04.2017 10:04;1.013.500.000;;
14.04.2017 10:09;1.013.500.000;;
14.04.2017 10:14;1.013.525.000;;
14.04.2017 10:19;1.013.375.000;;
14.04.2017 10:24;1.013.500.000;;
14.04.2017 10:29;1.013.375.000;;
14.04.2017 10:34;1.013.500.000;;
14.04.2017 10:39;1.013.375.000;;
14.04.2017 10:44;1.013.350.000;;
14.04.2017 10:49;1.013.375.000;;
14.04.2017 10:54;1.013.050.000;;
14.04.2017 10:59;1.013.050.000;;
14.04.2017 11:04;1.013.050.000;;
14.04.2017 11:09;1.013.050.000;;
14.04.2017 11:14;1.013.050.000;;
14.04.2017 11:19;1.013.050.000;;
14.04.2017 11:24;1.012.900.000;;
14.04.2017 11:29;1.012.900.000;;
14.04.2017 11:34;1.012.925.000;;
14.04.2017 11:39;1.012.900.000;;
14.04.2017 11:44;1.012.750.000;;
14.04.2017 11:49;1.012.900.000;;
14.04.2017 11:54;1.012.750.000;;
14.04.2017 11:59;1.012.750.000;;
14.04.2017 12:04;1.012.600.000;;
14.04.2017 12:09;1.012.600.000;;
14.04.2017 12:14;1.012.600.000;;
14.04.2017 12:19;1.012.725.000;;
14.04.2017 12:24;1.012.450.000;;
14.04.2017 12:29;1.012.600.000;;
14.04.2017 12:34;1.012.600.000;;
14.04.2017 12:39;1.012.425.000;;
