Time;pressure [hPa] #21;;
20.07.2017 09:19;1.007.925.000;;1.007.780.172
20.07.2017 09:24;1.007.775.000;;
20.07.2017 09:29;1.007.925.000;;
20.07.2017 09:34;1.007.625.000;;
20.07.2017 09:39;1.007.925.000;;
20.07.2017 09:44;1.007.925.000;;
20.07.2017 09:49;1.007.925.000;;
20.07.2017 09:54;1.007.600.000;;
20.07.2017 09:59;1.007.750.000;;
20.07.2017 10:04;1.007.925.000;;
20.07.2017 10:09;1.007.925.000;;
20.07.2017 10:14;1.007.925.000;;
20.07.2017 10:19;1.007.925.000;;
20.07.2017 10:24;1.007.925.000;;
20.07.2017 10:29;1.007.750.000;;
20.07.2017 10:34;1.007.775.000;;
20.07.2017 10:39;1.007.775.000;;
20.07.2017 10:44;1.007.775.000;;
20.07.2017 10:49;1.007.600.000;;
20.07.2017 10:54;1.007.475.000;;
20.07.2017 10:59;1.007.600.000;;
20.07.2017 11:04;1.007.600.000;;
20.07.2017 11:09;1.007.625.000;;
20.07.2017 11:14;1.007.775.000;;
20.07.2017 11:19;1.007.625.000;;
20.07.2017 11:24;1.007.775.000;;
20.07.2017 11:29;1.007.775.000;;
20.07.2017 11:34;1.007.925.000;;
20.07.2017 11:39;1.007.775.000;;
