Time;pressure [hPa] #21;;
10.03.2017 09:44;1.023.500.000;;1.024.089.516
10.03.2017 09:49;1.023.500.000;;
10.03.2017 09:54;1.023.800.000;;
10.03.2017 09:59;1.023.825.000;;
10.03.2017 10:04;1.023.800.000;;
10.03.2017 10:09;1.023.825.000;;
10.03.2017 10:14;1.024.075.000;;
10.03.2017 10:19;1.023.975.000;;
10.03.2017 10:24;1.024.250.000;;
10.03.2017 10:29;1.024.100.000;;
10.03.2017 10:34;1.023.975.000;;
10.03.2017 10:39;1.024.100.000;;
10.03.2017 10:44;1.024.225.000;;
10.03.2017 10:49;1.024.250.000;;
10.03.2017 10:54;1.024.400.000;;
10.03.2017 10:59;1.024.400.000;;
10.03.2017 11:04;1.024.450.000;;
10.03.2017 11:09;1.024.250.000;;
10.03.2017 11:14;1.024.275.000;;
10.03.2017 11:19;1.024.225.000;;
10.03.2017 11:24;1.024.250.000;;
10.03.2017 11:29;1.024.400.000;;
10.03.2017 11:34;1.024.400.000;;
10.03.2017 11:39;1.024.425.000;;
10.03.2017 11:44;1.024.125.000;;
10.03.2017 11:49;1.023.800.000;;
10.03.2017 11:54;1.024.100.000;;
10.03.2017 11:59;1.024.100.000;;
10.03.2017 12:04;1.023.950.000;;
10.03.2017 12:09;1.023.950.000;;
10.03.2017 12:14;1.024.075.000;;
