Time;pressure [hPa] #21;;
12.10.2017 13:02;1.018.025.000;;1.018.217.143
12.10.2017 13:07;1.018.175.000;;
12.10.2017 13:12;1.018.025.000;;
12.10.2017 13:17;1.018.050.000;;
12.10.2017 13:22;1.018.175.000;;
12.10.2017 13:27;1.018.025.000;;
12.10.2017 13:32;1.018.025.000;;
12.10.2017 13:37;1.018.025.000;;
12.10.2017 13:42;1.017.875.000;;
12.10.2017 13:47;1.018.175.000;;
12.10.2017 13:52;1.018.475.000;;
12.10.2017 13:57;1.018.350.000;;
12.10.2017 14:02;1.018.200.000;;
12.10.2017 14:07;1.018.500.000;;
12.10.2017 14:12;1.018.350.000;;
12.10.2017 14:17;1.018.350.000;;
12.10.2017 14:22;1.018.350.000;;
12.10.2017 14:27;1.018.200.000;;
12.10.2017 14:32;1.018.650.000;;
12.10.2017 14:37;1.018.350.000;;
12.10.2017 14:42;1.018.500.000;;
12.10.2017 14:47;1.018.200.000;;
12.10.2017 14:52;1.018.025.000;;
12.10.2017 14:57;1.017.900.000;;
12.10.2017 15:02;1.017.875.000;;
12.10.2017 15:07;1.018.200.000;;
12.10.2017 15:12;1.018.200.000;;
12.10.2017 15:17;1.018.200.000;;
12.10.2017 15:22;1.018.200.000;;
12.10.2017 15:27;1.018.350.000;;
12.10.2017 15:32;1.018.200.000;;
12.10.2017 15:37;1.018.350.000;;
12.10.2017 15:42;1.018.350.000;;
12.10.2017 15:47;1.018.500.000;;
12.10.2017 15:52;1.018.200.000;;
