Time;pressure [hPa] #21;;
04.08.2017 09:14;1.009.650.000;;1.009.521.212
04.08.2017 09:19;1.009.325.000;;
04.08.2017 09:24;1.009.325.000;;
04.08.2017 09:29;1.009.325.000;;
04.08.2017 09:34;1.009.500.000;;
04.08.2017 09:39;1.009.500.000;;
04.08.2017 09:44;1.009.350.000;;
04.08.2017 09:49;1.009.650.000;;
04.08.2017 09:54;1.009.500.000;;
04.08.2017 09:59;1.009.650.000;;
04.08.2017 10:04;1.009.500.000;;
04.08.2017 10:09;1.009.500.000;;
04.08.2017 10:14;1.009.325.000;;
04.08.2017 10:19;1.009.175.000;;
04.08.2017 10:24;1.009.175.000;;
04.08.2017 10:29;1.009.025.000;;
04.08.2017 10:34;1.009.175.000;;
04.08.2017 10:39;1.009.175.000;;
04.08.2017 10:44;1.009.650.000;;
04.08.2017 10:49;1.009.500.000;;
04.08.2017 10:54;1.009.500.000;;
04.08.2017 10:59;1.009.650.000;;
04.08.2017 11:04;1.009.500.000;;
04.08.2017 11:09;1.009.500.000;;
04.08.2017 11:14;1.009.500.000;;
04.08.2017 11:19;1.009.950.000;;
04.08.2017 11:24;1.009.800.000;;
04.08.2017 11:29;1.009.800.000;;
04.08.2017 11:34;1.009.650.000;;
04.08.2017 11:39;1.009.800.000;;
04.08.2017 11:44;1.009.650.000;;
04.08.2017 11:49;1.009.950.000;;
04.08.2017 11:54;1.009.975.000;;
