Time;pressure [hPa] #21;;
27.11.2017 08:50;1.017.100.000;;1.015.850.000
27.11.2017 08:55;1.017.075.000;;
27.11.2017 09:00;1.016.950.000;;
27.11.2017 09:05;1.016.800.000;;
27.11.2017 09:10;1.016.800.000;;
27.11.2017 09:15;1.016.800.000;;
27.11.2017 09:20;1.016.625.000;;
27.11.2017 09:25;1.016.625.000;;
27.11.2017 09:30;1.016.625.000;;
27.11.2017 09:35;1.016.475.000;;
27.11.2017 09:40;1.016.475.000;;
27.11.2017 09:45;1.016.325.000;;
27.11.2017 09:50;1.016.175.000;;
27.11.2017 09:55;1.016.175.000;;
27.11.2017 10:00;1.016.175.000;;
27.11.2017 10:05;1.016.025.000;;
27.11.2017 10:10;1.016.025.000;;
27.11.2017 10:15;1.016.175.000;;
27.11.2017 10:20;1.015.875.000;;
27.11.2017 10:25;1.015.850.000;;
27.11.2017 10:30;1.015.725.000;;
27.11.2017 10:35;1.015.550.000;;
27.11.2017 10:40;1.015.400.000;;
27.11.2017 10:45;1.015.400.000;;
27.11.2017 10:50;1.015.225.000;;
27.11.2017 10:55;1.015.225.000;;
27.11.2017 11:00;1.015.075.000;;
27.11.2017 11:05;1.014.925.000;;
27.11.2017 11:10;1.014.775.000;;
27.11.2017 11:15;1.014.625.000;;
27.11.2017 11:20;1.014.625.000;;
27.11.2017 11:25;1.014.450.000;;
27.11.2017 11:30;1.014.300.000;;
27.11.2017 11:35;1.014.450.000;;
