Time;pressure [hPa] #21;;
16.01.2017 13:00;1.021.600.000;;1.021.571.094
16.01.2017 13:05;1.021.300.000;;
16.01.2017 13:10;1.021.275.000;;
16.01.2017 13:15;1.021.300.000;;
16.01.2017 13:20;1.021.450.000;;
16.01.2017 13:25;1.021.450.000;;
16.01.2017 13:30;1.021.450.000;;
16.01.2017 13:35;1.021.300.000;;
16.01.2017 13:40;1.021.300.000;;
16.01.2017 13:45;1.021.300.000;;
16.01.2017 13:50;1.021.275.000;;
16.01.2017 13:55;1.021.450.000;;
16.01.2017 14:00;1.021.450.000;;
16.01.2017 14:05;1.021.450.000;;
16.01.2017 14:10;1.021.450.000;;
16.01.2017 14:15;1.021.600.000;;
16.01.2017 14:20;1.021.450.000;;
16.01.2017 14:25;1.021.450.000;;
16.01.2017 14:30;1.021.625.000;;
16.01.2017 14:35;1.021.475.000;;
16.01.2017 14:40;1.021.625.000;;
16.01.2017 14:45;1.021.750.000;;
16.01.2017 14:50;1.021.625.000;;
16.01.2017 14:55;1.021.650.000;;
16.01.2017 15:00;1.021.775.000;;
16.01.2017 15:05;1.021.925.000;;
16.01.2017 15:10;1.021.925.000;;
16.01.2017 15:15;1.021.925.000;;
16.01.2017 15:20;1.021.900.000;;
16.01.2017 15:25;1.021.925.000;;
16.01.2017 15:30;1.021.925.000;;
16.01.2017 15:35;1.021.925.000;;
