Time;pressure [hPa] #21;;
24.03.2017 09:19;1.022.850.000;;1.023.815.972
24.03.2017 09:24;1.022.675.000;;
24.03.2017 09:29;1.022.575.000;;
24.03.2017 09:34;1.023.025.000;;
24.03.2017 09:39;1.023.450.000;;
24.03.2017 09:44;1.023.175.000;;
24.03.2017 09:49;1.023.475.000;;
24.03.2017 09:54;1.023.475.000;;
24.03.2017 09:59;1.023.475.000;;
24.03.2017 10:04;1.023.325.000;;
24.03.2017 10:09;1.023.500.000;;
24.03.2017 10:14;1.023.650.000;;
24.03.2017 10:19;1.023.950.000;;
24.03.2017 10:24;1.023.800.000;;
24.03.2017 10:29;1.023.675.000;;
24.03.2017 10:34;1.023.800.000;;
24.03.2017 10:39;1.023.950.000;;
24.03.2017 10:44;1.023.925.000;;
24.03.2017 10:49;1.023.950.000;;
24.03.2017 10:54;1.023.825.000;;
24.03.2017 10:59;1.023.925.000;;
24.03.2017 11:04;1.023.825.000;;
24.03.2017 11:09;1.024.100.000;;
24.03.2017 11:14;1.023.950.000;;
24.03.2017 11:19;1.023.800.000;;
24.03.2017 11:24;1.023.950.000;;
24.03.2017 11:29;1.024.100.000;;
24.03.2017 11:34;1.024.100.000;;
24.03.2017 11:39;1.024.250.000;;
24.03.2017 11:44;1.024.275.000;;
24.03.2017 11:49;1.024.275.000;;
24.03.2017 11:54;1.024.575.000;;
24.03.2017 11:59;1.024.725.000;;
24.03.2017 12:04;1.024.725.000;;
24.03.2017 12:09;1.024.550.000;;
24.03.2017 12:14;1.024.725.000;;
