Time;pressure [hPa] #21;;
28.12.2017 09:33;991.750.000;;993.203.030
28.12.2017 09:38;991.750.000;;
28.12.2017 09:43;992.050.000;;
28.12.2017 09:48;992.050.000;;
28.12.2017 09:53;991.900.000;;
28.12.2017 09:58;992.225.000;;
28.12.2017 10:03;992.375.000;;
28.12.2017 10:08;992.375.000;;
28.12.2017 10:13;992.375.000;;
28.12.2017 10:18;992.700.000;;
28.12.2017 10:23;992.525.000;;
28.12.2017 10:28;992.825.000;;
28.12.2017 10:33;993.000.000;;
28.12.2017 10:38;993.000.000;;
28.12.2017 10:43;993.300.000;;
28.12.2017 10:48;993.475.000;;
28.12.2017 10:53;993.300.000;;
28.12.2017 10:58;993.475.000;;
28.12.2017 11:03;993.625.000;;
28.12.2017 11:08;993.775.000;;
28.12.2017 11:13;993.625.000;;
28.12.2017 11:18;993.775.000;;
28.12.2017 11:23;993.625.000;;
28.12.2017 11:28;993.775.000;;
28.12.2017 11:33;993.925.000;;
28.12.2017 11:38;993.925.000;;
28.12.2017 11:43;994.075.000;;
28.12.2017 11:48;993.925.000;;
28.12.2017 11:53;994.250.000;;
28.12.2017 11:58;994.400.000;;
28.12.2017 12:03;994.075.000;;
28.12.2017 12:08;994.225.000;;
28.12.2017 12:13;994.250.000;;
