Time;pressure [hPa] #21;;
25.09.2017 09:22;1.017.400.000;;1.017.181.618
25.09.2017 09:27;1.017.425.000;;
25.09.2017 09:32;1.017.550.000;;
25.09.2017 09:37;1.017.400.000;;
25.09.2017 09:42;1.017.250.000;;
25.09.2017 09:47;1.017.425.000;;
25.09.2017 09:52;1.017.425.000;;
25.09.2017 09:57;1.017.250.000;;
25.09.2017 10:02;1.017.575.000;;
25.09.2017 10:07;1.017.425.000;;
25.09.2017 10:12;1.017.125.000;;
25.09.2017 10:17;1.017.125.000;;
25.09.2017 10:22;1.017.250.000;;
25.09.2017 10:27;1.017.425.000;;
25.09.2017 10:32;1.017.100.000;;
25.09.2017 10:37;1.017.250.000;;
25.09.2017 10:42;1.017.100.000;;
25.09.2017 10:47;1.017.100.000;;
25.09.2017 10:52;1.017.100.000;;
25.09.2017 10:57;1.017.125.000;;
25.09.2017 11:02;1.017.100.000;;
25.09.2017 11:07;1.016.950.000;;
25.09.2017 11:12;1.016.950.000;;
25.09.2017 11:17;1.017.250.000;;
25.09.2017 11:22;1.017.100.000;;
25.09.2017 11:27;1.017.100.000;;
25.09.2017 11:32;1.016.950.000;;
25.09.2017 11:37;1.017.125.000;;
25.09.2017 11:42;1.016.800.000;;
25.09.2017 11:47;1.016.950.000;;
25.09.2017 11:52;1.017.100.000;;
25.09.2017 11:57;1.017.075.000;;
25.09.2017 12:02;1.016.950.000;;
25.09.2017 12:07;1.016.950.000;;
