Time;pressure [hPa] #21;;
06.11.2017 09:40;1.017.725.000;;1.018.404.167
06.11.2017 09:45;1.017.875.000;;
06.11.2017 09:50;1.017.875.000;;
06.11.2017 09:55;1.017.875.000;;
06.11.2017 10:00;1.018.025.000;;
06.11.2017 10:05;1.018.050.000;;
06.11.2017 10:10;1.018.025.000;;
06.11.2017 10:15;1.018.025.000;;
06.11.2017 10:20;1.018.025.000;;
06.11.2017 10:25;1.018.175.000;;
06.11.2017 10:30;1.018.200.000;;
06.11.2017 10:35;1.018.200.000;;
06.11.2017 10:40;1.018.325.000;;
06.11.2017 10:45;1.018.350.000;;
06.11.2017 10:50;1.018.325.000;;
06.11.2017 10:55;1.018.650.000;;
06.11.2017 11:00;1.018.500.000;;
06.11.2017 11:05;1.018.500.000;;
06.11.2017 11:10;1.018.650.000;;
06.11.2017 11:15;1.018.650.000;;
06.11.2017 11:20;1.018.800.000;;
06.11.2017 11:25;1.018.825.000;;
06.11.2017 11:30;1.018.650.000;;
06.11.2017 11:35;1.018.800.000;;
06.11.2017 11:40;1.018.950.000;;
06.11.2017 11:45;1.018.975.000;;
06.11.2017 11:50;1.018.825.000;;
06.11.2017 11:55;1.018.650.000;;
06.11.2017 12:00;1.018.800.000;;
06.11.2017 12:05;1.018.825.000;;
