Time;pressure [hPa] #21;;
13.07.2017 09:19;1.019.450.000;;1.019.407.857
13.07.2017 09:24;1.019.625.000;;
13.07.2017 09:29;1.019.775.000;;
13.07.2017 09:34;1.019.750.000;;
13.07.2017 09:39;1.019.900.000;;
13.07.2017 09:44;1.019.600.000;;
13.07.2017 09:49;1.019.575.000;;
13.07.2017 09:54;1.019.600.000;;
13.07.2017 09:59;1.019.450.000;;
13.07.2017 10:04;1.019.600.000;;
13.07.2017 10:09;1.019.275.000;;
13.07.2017 10:14;1.019.125.000;;
13.07.2017 10:19;1.019.100.000;;
13.07.2017 10:24;1.019.150.000;;
13.07.2017 10:29;1.019.250.000;;
13.07.2017 10:34;1.019.150.000;;
13.07.2017 10:39;1.019.100.000;;
13.07.2017 10:44;1.019.425.000;;
13.07.2017 10:49;1.019.250.000;;
13.07.2017 10:54;1.019.300.000;;
13.07.2017 10:59;1.019.450.000;;
13.07.2017 11:04;1.019.275.000;;
13.07.2017 11:09;1.019.275.000;;
13.07.2017 11:14;1.019.300.000;;
13.07.2017 11:19;1.019.300.000;;
13.07.2017 11:24;1.019.425.000;;
13.07.2017 11:29;1.019.450.000;;
13.07.2017 11:34;1.019.275.000;;
13.07.2017 11:39;1.019.450.000;;
13.07.2017 11:44;1.019.425.000;;
13.07.2017 11:49;1.019.300.000;;
13.07.2017 11:54;1.019.425.000;;
13.07.2017 11:59;1.019.575.000;;
13.07.2017 12:04;1.019.450.000;;
13.07.2017 12:09;1.019.450.000;;
