Time;pressure [hPa] #21;;
10.02.2017 10:50;1.017.100.000;;
10.02.2017 10:55;1.017.100.000;;1.017.156.250
10.02.2017 11:00;1.017.125.000;;
10.02.2017 11:05;1.017.250.000;;
10.02.2017 11:10;1.017.250.000;;
10.02.2017 11:15;1.017.100.000;;
10.02.2017 11:20;1.017.100.000;;
10.02.2017 11:25;1.017.400.000;;
10.02.2017 11:30;1.017.425.000;;
10.02.2017 11:35;1.017.550.000;;
10.02.2017 11:40;1.017.250.000;;
10.02.2017 11:45;1.017.425.000;;
10.02.2017 11:50;1.017.400.000;;
10.02.2017 11:55;1.017.125.000;;
10.02.2017 12:00;1.017.100.000;;
10.02.2017 12:05;1.017.075.000;;
10.02.2017 12:10;1.017.075.000;;
10.02.2017 12:15;1.017.100.000;;
10.02.2017 12:20;1.017.100.000;;
10.02.2017 12:25;1.017.250.000;;
10.02.2017 12:30;1.017.250.000;;
10.02.2017 12:35;1.017.250.000;;
10.02.2017 12:40;1.017.100.000;;
10.02.2017 12:45;1.017.100.000;;
10.02.2017 12:50;1.017.100.000;;
10.02.2017 12:55;1.017.100.000;;
10.02.2017 13:00;1.016.975.000;;
10.02.2017 13:05;1.017.075.000;;
10.02.2017 13:10;1.017.075.000;;
10.02.2017 13:15;1.017.075.000;;
10.02.2017 13:20;1.016.800.000;;
10.02.2017 13:25;1.016.800.000;;
