Time;pressure [hPa] #21;;
16.01.2018 08:58;989.250.000;;989.253.226
16.01.2018 09:03;989.100.000;;
16.01.2018 09:08;989.100.000;;
16.01.2018 09:13;989.250.000;;
16.01.2018 09:18;989.250.000;;
16.01.2018 09:23;989.250.000;;
16.01.2018 09:28;989.250.000;;
16.01.2018 09:33;989.250.000;;
16.01.2018 09:38;988.950.000;;
16.01.2018 09:43;989.275.000;;
16.01.2018 09:48;989.275.000;;
16.01.2018 09:53;989.275.000;;
16.01.2018 09:58;989.275.000;;
16.01.2018 10:03;989.425.000;;
16.01.2018 10:08;989.250.000;;
16.01.2018 10:13;989.275.000;;
16.01.2018 10:18;989.400.000;;
16.01.2018 10:23;989.575.000;;
16.01.2018 10:28;989.425.000;;
16.01.2018 10:33;989.550.000;;
16.01.2018 10:38;989.100.000;;
16.01.2018 10:43;989.425.000;;
16.01.2018 10:48;989.250.000;;
16.01.2018 10:53;989.400.000;;
16.01.2018 10:58;989.250.000;;
16.01.2018 11:03;989.250.000;;
16.01.2018 11:08;989.100.000;;
16.01.2018 11:13;989.125.000;;
16.01.2018 11:18;989.100.000;;
16.01.2018 11:23;989.100.000;;
16.01.2018 11:28;989.100.000;;
