Time;pressure [hPa] #21;;
08.06.2017 08:50;1.015.400.000;;1.015.175.000
08.06.2017 08:55;1.015.225.000;;
08.06.2017 09:00;1.015.225.000;;
08.06.2017 09:05;1.015.375.000;;
08.06.2017 09:10;1.015.225.000;;
08.06.2017 09:15;1.015.225.000;;
08.06.2017 09:20;1.015.375.000;;
08.06.2017 09:25;1.015.375.000;;
08.06.2017 09:30;1.015.225.000;;
08.06.2017 09:35;1.015.225.000;;
08.06.2017 09:40;1.015.525.000;;
08.06.2017 09:45;1.015.400.000;;
08.06.2017 09:50;1.015.375.000;;
08.06.2017 09:55;1.015.375.000;;
08.06.2017 10:00;1.015.250.000;;
08.06.2017 10:05;1.015.400.000;;
08.06.2017 10:10;1.015.225.000;;
08.06.2017 10:15;1.015.225.000;;
08.06.2017 10:20;1.015.250.000;;
08.06.2017 10:25;1.015.375.000;;
08.06.2017 10:30;1.015.375.000;;
08.06.2017 10:35;1.015.100.000;;
08.06.2017 10:40;1.015.225.000;;
08.06.2017 10:45;1.015.100.000;;
08.06.2017 10:50;1.015.100.000;;
08.06.2017 10:55;1.015.100.000;;
08.06.2017 11:00;1.015.100.000;;
08.06.2017 11:05;1.015.075.000;;
08.06.2017 11:10;1.015.075.000;;
08.06.2017 11:15;1.014.950.000;;
08.06.2017 11:20;1.015.075.000;;
08.06.2017 11:25;1.014.950.000;;
08.06.2017 11:30;1.015.100.000;;
08.06.2017 11:35;1.014.775.000;;
08.06.2017 11:40;1.014.775.000;;
08.06.2017 11:45;1.014.925.000;;
08.06.2017 11:50;1.014.800.000;;
08.06.2017 11:55;1.014.775.000;;
