Time;pressure [hPa] #21;;
21.12.2017 09:03;1.029.550.000;;1.029.620.313
21.12.2017 09:08;1.029.550.000;;
21.12.2017 09:13;1.029.275.000;;
21.12.2017 09:18;1.029.550.000;;
21.12.2017 09:23;1.029.550.000;;
21.12.2017 09:28;1.029.400.000;;
21.12.2017 09:33;1.029.275.000;;
21.12.2017 09:38;1.029.550.000;;
21.12.2017 09:43;1.029.400.000;;
21.12.2017 09:48;1.029.400.000;;
21.12.2017 09:53;1.029.250.000;;
21.12.2017 09:58;1.029.425.000;;
21.12.2017 10:03;1.029.375.000;;
21.12.2017 10:08;1.029.700.000;;
21.12.2017 10:13;1.029.575.000;;
21.12.2017 10:18;1.029.875.000;;
21.12.2017 10:23;1.029.700.000;;
21.12.2017 10:28;1.030.025.000;;
21.12.2017 10:33;1.029.750.000;;
21.12.2017 10:38;1.030.000.000;;
21.12.2017 10:43;1.029.875.000;;
21.12.2017 10:48;1.029.875.000;;
21.12.2017 10:53;1.029.900.000;;
21.12.2017 10:58;1.029.750.000;;
21.12.2017 11:03;1.029.875.000;;
21.12.2017 11:08;1.029.550.000;;
21.12.2017 11:13;1.029.550.000;;
21.12.2017 11:18;1.029.675.000;;
21.12.2017 11:23;1.029.700.000;;
21.12.2017 11:28;1.029.700.000;;
21.12.2017 11:33;1.029.700.000;;
21.12.2017 11:38;1.029.525.000;;
