Time;pressure [hPa] #21;;
31.03.2017 08:29;1.014.000.000;;1.013.589.655
31.03.2017 08:34;1.013.850.000;;
31.03.2017 08:39;1.014.000.000;;
31.03.2017 08:44;1.014.000.000;;
31.03.2017 08:49;1.013.850.000;;
31.03.2017 08:54;1.013.975.000;;
31.03.2017 08:59;1.013.700.000;;
31.03.2017 09:04;1.013.825.000;;
31.03.2017 09:09;1.014.000.000;;
31.03.2017 09:14;1.013.850.000;;
31.03.2017 09:19;1.013.825.000;;
31.03.2017 09:24;1.013.825.000;;
31.03.2017 09:29;1.013.375.000;;
31.03.2017 09:34;1.013.375.000;;
31.03.2017 09:39;1.013.525.000;;
31.03.2017 09:44;1.013.675.000;;
31.03.2017 09:49;1.013.675.000;;
31.03.2017 09:54;1.013.375.000;;
31.03.2017 09:59;1.013.525.000;;
31.03.2017 10:04;1.013.500.000;;
31.03.2017 10:09;1.013.500.000;;
31.03.2017 10:14;1.013.375.000;;
31.03.2017 10:19;1.013.500.000;;
31.03.2017 10:24;1.013.375.000;;
31.03.2017 10:29;1.013.225.000;;
31.03.2017 10:34;1.013.075.000;;
31.03.2017 10:39;1.013.200.000;;
31.03.2017 10:44;1.013.050.000;;
31.03.2017 10:49;1.013.075.000;;
