Time;pressure [hPa] #21;;
23.10.2017 09:12;1.014.600.000;;1.014.830.303
23.10.2017 09:17;1.014.325.000;;
23.10.2017 09:22;1.014.450.000;;
23.10.2017 09:27;1.014.625.000;;
23.10.2017 09:32;1.014.750.000;;
23.10.2017 09:37;1.014.900.000;;
23.10.2017 09:42;1.014.775.000;;
23.10.2017 09:47;1.014.775.000;;
23.10.2017 09:52;1.014.775.000;;
23.10.2017 09:57;1.014.625.000;;
23.10.2017 10:02;1.014.625.000;;
23.10.2017 10:07;1.014.775.000;;
23.10.2017 10:12;1.014.775.000;;
23.10.2017 10:17;1.014.625.000;;
23.10.2017 10:22;1.014.750.000;;
23.10.2017 10:27;1.014.775.000;;
23.10.2017 10:32;1.014.625.000;;
23.10.2017 10:37;1.014.775.000;;
23.10.2017 10:42;1.014.625.000;;
23.10.2017 10:47;1.014.775.000;;
23.10.2017 10:52;1.014.775.000;;
23.10.2017 10:57;1.014.775.000;;
23.10.2017 11:02;1.014.900.000;;
23.10.2017 11:07;1.014.925.000;;
23.10.2017 11:12;1.014.925.000;;
23.10.2017 11:17;1.014.925.000;;
23.10.2017 11:22;1.014.925.000;;
23.10.2017 11:27;1.015.075.000;;
23.10.2017 11:32;1.015.225.000;;
23.10.2017 11:37;1.015.225.000;;
23.10.2017 11:42;1.015.225.000;;
23.10.2017 11:47;1.015.375.000;;
23.10.2017 11:52;1.015.400.000;;
