Time;pressure [hPa] #21;;
07.09.2017 09:02;1.013.225.000;;1.013.232.576
07.09.2017 09:07;1.013.525.000;;
07.09.2017 09:12;1.013.500.000;;
07.09.2017 09:17;1.013.350.000;;
07.09.2017 09:22;1.013.225.000;;
07.09.2017 09:27;1.013.375.000;;
07.09.2017 09:32;1.013.375.000;;
07.09.2017 09:37;1.013.375.000;;
07.09.2017 09:42;1.013.500.000;;
07.09.2017 09:47;1.013.375.000;;
07.09.2017 09:52;1.013.675.000;;
07.09.2017 09:57;1.013.500.000;;
07.09.2017 10:02;1.013.525.000;;
07.09.2017 10:07;1.013.375.000;;
07.09.2017 10:12;1.013.375.000;;
07.09.2017 10:17;1.013.375.000;;
07.09.2017 10:22;1.013.375.000;;
07.09.2017 10:27;1.013.225.000;;
07.09.2017 10:32;1.013.225.000;;
07.09.2017 10:37;1.013.225.000;;
07.09.2017 10:42;1.013.225.000;;
07.09.2017 10:47;1.013.050.000;;
07.09.2017 10:52;1.013.050.000;;
07.09.2017 10:57;1.013.225.000;;
07.09.2017 11:02;1.013.050.000;;
07.09.2017 11:07;1.013.225.000;;
07.09.2017 11:12;1.013.050.000;;
07.09.2017 11:17;1.012.900.000;;
07.09.2017 11:22;1.012.900.000;;
07.09.2017 11:27;1.012.900.000;;
07.09.2017 11:32;1.012.750.000;;
07.09.2017 11:37;1.012.750.000;;
07.09.2017 11:42;1.012.900.000;;
