Time;pressure [hPa] #21;;
09.01.2018 08:33;1.009.325.000;;1.009.158.621
09.01.2018 08:38;1.009.175.000;;
09.01.2018 08:43;1.009.325.000;;
09.01.2018 08:48;1.009.475.000;;
09.01.2018 08:53;1.009.475.000;;
09.01.2018 08:58;1.009.175.000;;
09.01.2018 09:03;1.009.325.000;;
09.01.2018 09:08;1.009.175.000;;
09.01.2018 09:13;1.009.175.000;;
09.01.2018 09:18;1.009.175.000;;
09.01.2018 09:23;1.009.175.000;;
09.01.2018 09:28;1.008.875.000;;
09.01.2018 09:33;1.008.875.000;;
09.01.2018 09:38;1.008.875.000;;
09.01.2018 09:43;1.008.700.000;;
09.01.2018 09:48;1.009.000.000;;
09.01.2018 09:53;1.009.000.000;;
09.01.2018 09:58;1.009.325.000;;
09.01.2018 10:03;1.009.175.000;;
09.01.2018 10:08;1.008.850.000;;
09.01.2018 10:13;1.009.000.000;;
09.01.2018 10:18;1.009.150.000;;
09.01.2018 10:23;1.009.475.000;;
09.01.2018 10:28;1.009.175.000;;
09.01.2018 10:33;1.009.325.000;;
09.01.2018 10:38;1.009.325.000;;
09.01.2018 10:43;1.009.175.000;;
09.01.2018 10:48;1.009.175.000;;
09.01.2018 10:53;1.009.150.000;;
