Time;pressure [hPa] #21;;
18.09.2017 09:22;1.011.975.000;;1.012.166.176
18.09.2017 09:27;1.011.825.000;;
18.09.2017 09:32;1.011.975.000;;
18.09.2017 09:37;1.011.975.000;;
18.09.2017 09:42;1.012.125.000;;
18.09.2017 09:47;1.011.975.000;;
18.09.2017 09:52;1.012.275.000;;
18.09.2017 09:57;1.011.975.000;;
18.09.2017 10:02;1.011.975.000;;
18.09.2017 10:07;1.012.125.000;;
18.09.2017 10:12;1.012.125.000;;
18.09.2017 10:17;1.012.125.000;;
18.09.2017 10:22;1.012.125.000;;
18.09.2017 10:27;1.012.275.000;;
18.09.2017 10:32;1.012.125.000;;
18.09.2017 10:37;1.012.275.000;;
18.09.2017 10:42;1.012.425.000;;
18.09.2017 10:47;1.012.125.000;;
18.09.2017 10:52;1.012.275.000;;
18.09.2017 10:57;1.012.125.000;;
18.09.2017 11:02;1.011.975.000;;
18.09.2017 11:07;1.012.275.000;;
18.09.2017 11:12;1.012.125.000;;
18.09.2017 11:17;1.012.125.000;;
18.09.2017 11:22;1.012.425.000;;
18.09.2017 11:27;1.012.275.000;;
18.09.2017 11:32;1.012.425.000;;
18.09.2017 11:37;1.012.300.000;;
18.09.2017 11:42;1.012.275.000;;
18.09.2017 11:47;1.012.275.000;;
18.09.2017 11:52;1.012.275.000;;
18.09.2017 11:57;1.012.125.000;;
18.09.2017 12:02;1.012.300.000;;
18.09.2017 12:07;1.012.275.000;;
