Time;pressure [hPa] #21;;
11.09.2017 10:57;995.950.000;;996.121.552
11.09.2017 11:02;995.625.000;;
11.09.2017 11:07;995.775.000;;
11.09.2017 11:12;995.775.000;;
11.09.2017 11:17;995.625.000;;
11.09.2017 11:22;995.475.000;;
11.09.2017 11:27;995.775.000;;
11.09.2017 11:32;995.775.000;;
11.09.2017 11:37;995.625.000;;
11.09.2017 11:42;995.950.000;;
11.09.2017 11:47;995.950.000;;
11.09.2017 11:52;995.950.000;;
11.09.2017 11:57;996.100.000;;
11.09.2017 12:02;996.100.000;;
11.09.2017 12:07;996.250.000;;
11.09.2017 12:12;996.100.000;;
11.09.2017 12:17;996.100.000;;
11.09.2017 12:22;996.100.000;;
11.09.2017 12:27;996.100.000;;
11.09.2017 12:32;996.250.000;;
11.09.2017 12:37;996.250.000;;
11.09.2017 12:42;996.400.000;;
11.09.2017 12:47;996.550.000;;
11.09.2017 12:52;996.550.000;;
11.09.2017 12:57;996.550.000;;
11.09.2017 13:02;996.400.000;;
11.09.2017 13:07;996.875.000;;
11.09.2017 13:12;996.725.000;;
11.09.2017 13:17;996.875.000;;
