Time;pressure [hPa] #21;;
25.08.2017 08:59;1.015.850.000;;1.015.621.094
25.08.2017 09:04;1.015.700.000;;
25.08.2017 09:09;1.015.700.000;;
25.08.2017 09:14;1.015.850.000;;
25.08.2017 09:19;1.015.850.000;;
25.08.2017 09:24;1.015.575.000;;
25.08.2017 09:29;1.015.875.000;;
25.08.2017 09:34;1.015.875.000;;
25.08.2017 09:39;1.015.725.000;;
25.08.2017 09:44;1.015.850.000;;
25.08.2017 09:49;1.015.725.000;;
25.08.2017 09:54;1.015.875.000;;
25.08.2017 09:59;1.015.575.000;;
25.08.2017 10:04;1.015.575.000;;
25.08.2017 10:09;1.015.575.000;;
25.08.2017 10:14;1.015.575.000;;
25.08.2017 10:19;1.015.725.000;;
25.08.2017 10:24;1.015.575.000;;
25.08.2017 10:29;1.015.575.000;;
25.08.2017 10:34;1.015.575.000;;
25.08.2017 10:39;1.015.575.000;;
25.08.2017 10:44;1.015.575.000;;
25.08.2017 10:49;1.015.425.000;;
25.08.2017 10:54;1.015.425.000;;
25.08.2017 10:59;1.015.725.000;;
25.08.2017 11:04;1.015.575.000;;
25.08.2017 11:09;1.015.575.000;;
25.08.2017 11:14;1.015.575.000;;
25.08.2017 11:19;1.015.275.000;;
25.08.2017 11:24;1.015.275.000;;
25.08.2017 11:29;1.015.400.000;;
25.08.2017 11:34;1.015.275.000;;
