Time;pressure [hPa] #21;;
14.12.2017 09:00;991.125.000;;992.103.947
14.12.2017 09:05;991.450.000;;
14.12.2017 09:10;991.300.000;;
14.12.2017 09:15;991.450.000;;
14.12.2017 09:20;991.600.000;;
14.12.2017 09:25;991.600.000;;
14.12.2017 09:30;991.450.000;;
14.12.2017 09:35;991.750.000;;
14.12.2017 09:40;991.600.000;;
14.12.2017 09:45;991.600.000;;
14.12.2017 09:50;991.750.000;;
14.12.2017 09:55;991.900.000;;
14.12.2017 10:00;991.750.000;;
14.12.2017 10:05;991.900.000;;
14.12.2017 10:10;991.750.000;;
14.12.2017 10:15;991.900.000;;
14.12.2017 10:20;992.225.000;;
14.12.2017 10:25;992.375.000;;
14.12.2017 10:30;992.225.000;;
14.12.2017 10:35;992.225.000;;
14.12.2017 10:40;992.375.000;;
14.12.2017 10:45;992.225.000;;
14.12.2017 10:50;992.525.000;;
14.12.2017 10:55;992.675.000;;
14.12.2017 11:00;992.700.000;;
14.12.2017 11:05;992.825.000;;
14.12.2017 11:10;992.700.000;;
14.12.2017 11:15;992.675.000;;
14.12.2017 11:20;992.675.000;;
14.12.2017 11:25;992.525.000;;
14.12.2017 11:30;992.375.000;;
14.12.2017 11:35;992.525.000;;
14.12.2017 11:40;992.525.000;;
14.12.2017 11:45;992.375.000;;
14.12.2017 11:50;992.525.000;;
14.12.2017 11:55;992.525.000;;
14.12.2017 12:00;991.900.000;;
14.12.2017 12:05;992.375.000;;
