Time;pressure [hPa] #21;;
25.05.2017 13:40;1.018.500.000;;1.018.173.649
25.05.2017 13:45;1.018.825.000;;
25.05.2017 13:50;1.018.700.000;;
25.05.2017 13:55;1.018.525.000;;
25.05.2017 14:00;1.018.675.000;;
25.05.2017 14:05;1.018.225.000;;
25.05.2017 14:10;1.018.225.000;;
25.05.2017 14:15;1.018.375.000;;
25.05.2017 14:20;1.018.050.000;;
25.05.2017 14:25;1.018.375.000;;
25.05.2017 14:30;1.018.375.000;;
25.05.2017 14:35;1.018.200.000;;
25.05.2017 14:40;1.018.375.000;;
25.05.2017 14:45;1.018.200.000;;
25.05.2017 14:50;1.018.050.000;;
25.05.2017 14:55;1.018.050.000;;
25.05.2017 15:00;1.018.200.000;;
25.05.2017 15:05;1.018.200.000;;
25.05.2017 15:10;1.018.050.000;;
25.05.2017 15:15;1.017.900.000;;
25.05.2017 15:20;1.018.200.000;;
25.05.2017 15:25;1.018.075.000;;
25.05.2017 15:30;1.018.200.000;;
25.05.2017 15:35;1.018.200.000;;
25.05.2017 15:40;1.018.050.000;;
25.05.2017 15:45;1.018.050.000;;
25.05.2017 15:50;1.017.900.000;;
25.05.2017 15:55;1.017.900.000;;
25.05.2017 16:00;1.017.900.000;;
25.05.2017 16:05;1.018.050.000;;
25.05.2017 16:10;1.018.050.000;;
25.05.2017 16:15;1.017.875.000;;
25.05.2017 16:20;1.017.900.000;;
25.05.2017 16:25;1.017.875.000;;
25.05.2017 16:30;1.018.050.000;;
25.05.2017 16:35;1.018.050.000;;
25.05.2017 16:40;1.018.025.000;;
