Time;pressure [hPa] #21;;
23.01.2017 13:30;1.020.975.000;;1.020.404.861
23.01.2017 13:35;1.020.825.000;;
23.01.2017 13:40;1.020.525.000;;
23.01.2017 13:45;1.020.500.000;;
23.01.2017 13:50;1.020.525.000;;
23.01.2017 13:55;1.020.500.000;;
23.01.2017 14:00;1.020.350.000;;
23.01.2017 14:05;1.020.375.000;;
23.01.2017 14:10;1.020.500.000;;
23.01.2017 14:15;1.020.500.000;;
23.01.2017 14:20;1.020.350.000;;
23.01.2017 14:25;1.020.500.000;;
23.01.2017 14:30;1.020.500.000;;
23.01.2017 14:35;1.020.500.000;;
23.01.2017 14:40;1.020.525.000;;
23.01.2017 14:45;1.020.500.000;;
23.01.2017 14:50;1.020.375.000;;
23.01.2017 14:55;1.020.225.000;;
23.01.2017 15:00;1.020.350.000;;
23.01.2017 15:05;1.020.375.000;;
23.01.2017 15:10;1.020.375.000;;
23.01.2017 15:15;1.020.200.000;;
23.01.2017 15:20;1.020.350.000;;
23.01.2017 15:25;1.020.500.000;;
23.01.2017 15:30;1.020.375.000;;
23.01.2017 15:35;1.020.225.000;;
23.01.2017 15:40;1.020.350.000;;
23.01.2017 15:45;1.020.475.000;;
23.01.2017 15:50;1.020.500.000;;
23.01.2017 15:55;1.020.225.000;;
23.01.2017 16:00;1.020.225.000;;
23.01.2017 16:05;1.020.050.000;;
23.01.2017 16:10;1.020.350.000;;
23.01.2017 16:15;1.020.200.000;;
23.01.2017 16:20;1.020.200.000;;
23.01.2017 16:25;1.020.200.000;;
