Time;pressure [hPa] #21;;
26.01.2018 10:03;1.013.050.000;;1.013.533.871
26.01.2018 10:08;1.012.750.000;;
26.01.2018 10:13;1.013.200.000;;
26.01.2018 10:18;1.012.900.000;;
26.01.2018 10:23;1.013.225.000;;
26.01.2018 10:28;1.013.050.000;;
26.01.2018 10:33;1.013.050.000;;
26.01.2018 10:38;1.013.225.000;;
26.01.2018 10:43;1.013.225.000;;
26.01.2018 10:48;1.013.500.000;;
26.01.2018 10:53;1.013.375.000;;
26.01.2018 10:58;1.013.825.000;;
26.01.2018 11:03;1.013.675.000;;
26.01.2018 11:08;1.013.675.000;;
26.01.2018 11:13;1.013.675.000;;
26.01.2018 11:18;1.013.825.000;;
26.01.2018 11:23;1.013.825.000;;
26.01.2018 11:28;1.013.675.000;;
26.01.2018 11:33;1.013.825.000;;
26.01.2018 11:38;1.013.675.000;;
26.01.2018 11:43;1.013.675.000;;
26.01.2018 11:48;1.013.825.000;;
26.01.2018 11:53;1.013.700.000;;
26.01.2018 11:58;1.013.700.000;;
26.01.2018 12:03;1.013.850.000;;
26.01.2018 12:08;1.013.825.000;;
26.01.2018 12:13;1.013.700.000;;
26.01.2018 12:18;1.013.675.000;;
26.01.2018 12:23;1.013.700.000;;
26.01.2018 12:28;1.013.675.000;;
26.01.2018 12:33;1.014.000.000;;
