Time;pressure [hPa] #21;;
16.11.2017 09:25;1.020.525.000;;1.020.750.758
16.11.2017 09:30;1.020.550.000;;
16.11.2017 09:35;1.020.375.000;;
16.11.2017 09:40;1.020.375.000;;
16.11.2017 09:45;1.020.375.000;;
16.11.2017 09:50;1.020.675.000;;
16.11.2017 09:55;1.020.525.000;;
16.11.2017 10:00;1.020.825.000;;
16.11.2017 10:05;1.020.675.000;;
16.11.2017 10:10;1.020.850.000;;
16.11.2017 10:15;1.020.675.000;;
16.11.2017 10:20;1.020.525.000;;
16.11.2017 10:25;1.020.675.000;;
16.11.2017 10:30;1.020.850.000;;
16.11.2017 10:35;1.020.975.000;;
16.11.2017 10:40;1.020.850.000;;
16.11.2017 10:45;1.021.000.000;;
16.11.2017 10:50;1.021.000.000;;
16.11.2017 10:55;1.021.000.000;;
16.11.2017 11:00;1.021.000.000;;
16.11.2017 11:05;1.020.850.000;;
16.11.2017 11:10;1.021.000.000;;
16.11.2017 11:15;1.021.125.000;;
16.11.2017 11:20;1.020.850.000;;
16.11.2017 11:25;1.020.825.000;;
16.11.2017 11:30;1.020.525.000;;
16.11.2017 11:35;1.020.850.000;;
16.11.2017 11:40;1.020.850.000;;
16.11.2017 11:45;1.021.000.000;;
16.11.2017 11:50;1.020.850.000;;
16.11.2017 11:55;1.020.550.000;;
16.11.2017 12:00;1.020.675.000;;
16.11.2017 12:05;1.020.525.000;;
