Time;pressure [hPa] #21;;
10.08.2017 09:19;1.016.175.000;;1.016.326.724
10.08.2017 09:24;1.016.175.000;;
10.08.2017 09:29;1.016.150.000;;
10.08.2017 09:34;1.016.175.000;;
10.08.2017 09:39;1.016.175.000;;
10.08.2017 09:44;1.016.475.000;;
10.08.2017 09:49;1.016.800.000;;
10.08.2017 09:54;1.016.625.000;;
10.08.2017 09:59;1.016.625.000;;
10.08.2017 10:04;1.016.175.000;;
10.08.2017 10:09;1.016.325.000;;
10.08.2017 10:14;1.016.300.000;;
10.08.2017 10:19;1.016.175.000;;
10.08.2017 10:24;1.016.350.000;;
10.08.2017 10:29;1.016.625.000;;
10.08.2017 10:34;1.016.325.000;;
10.08.2017 10:39;1.016.475.000;;
10.08.2017 10:44;1.016.475.000;;
10.08.2017 10:49;1.016.475.000;;
10.08.2017 10:54;1.016.475.000;;
10.08.2017 10:59;1.016.350.000;;
10.08.2017 11:04;1.016.350.000;;
10.08.2017 11:09;1.016.175.000;;
10.08.2017 11:14;1.016.025.000;;
10.08.2017 11:19;1.016.025.000;;
10.08.2017 11:24;1.016.175.000;;
10.08.2017 11:29;1.016.175.000;;
10.08.2017 11:34;1.016.350.000;;
10.08.2017 11:39;1.016.300.000;;
