Time;pressure [hPa] #21;;
14.03.2017 09:59;1.028.300.000;;1.028.111.290
14.03.2017 10:04;1.028.000.000;;
14.03.2017 10:09;1.028.150.000;;
14.03.2017 10:14;1.028.025.000;;
14.03.2017 10:19;1.028.275.000;;
14.03.2017 10:24;1.028.150.000;;
14.03.2017 10:29;1.028.150.000;;
14.03.2017 10:34;1.028.275.000;;
14.03.2017 10:39;1.028.300.000;;
14.03.2017 10:44;1.028.300.000;;
14.03.2017 10:49;1.028.325.000;;
14.03.2017 10:54;1.028.425.000;;
14.03.2017 10:59;1.028.150.000;;
14.03.2017 11:04;1.028.000.000;;
14.03.2017 11:09;1.028.150.000;;
14.03.2017 11:14;1.028.300.000;;
14.03.2017 11:19;1.028.300.000;;
14.03.2017 11:24;1.028.300.000;;
14.03.2017 11:29;1.028.300.000;;
14.03.2017 11:34;1.028.125.000;;
14.03.2017 11:39;1.028.300.000;;
14.03.2017 11:44;1.028.150.000;;
14.03.2017 11:49;1.027.975.000;;
14.03.2017 11:54;1.027.850.000;;
14.03.2017 11:59;1.028.000.000;;
14.03.2017 12:04;1.027.875.000;;
14.03.2017 12:09;1.027.800.000;;
14.03.2017 12:14;1.028.000.000;;
14.03.2017 12:19;1.027.675.000;;
14.03.2017 12:24;1.027.850.000;;
14.03.2017 12:29;1.027.675.000;;
