Time;pressure [hPa] #21;;
17.02.2017 13:54;1.020.050.000;;1.019.863.636
17.02.2017 13:59;1.019.900.000;;
17.02.2017 14:04;1.020.050.000;;
17.02.2017 14:09;1.019.900.000;;
17.02.2017 14:14;1.020.050.000;;
17.02.2017 14:19;1.019.900.000;;
17.02.2017 14:24;1.019.750.000;;
17.02.2017 14:29;1.019.900.000;;
17.02.2017 14:34;1.020.050.000;;
17.02.2017 14:39;1.019.750.000;;
17.02.2017 14:44;1.019.875.000;;
17.02.2017 14:49;1.019.750.000;;
17.02.2017 14:54;1.019.750.000;;
17.02.2017 14:59;1.019.875.000;;
17.02.2017 15:04;1.019.600.000;;
17.02.2017 15:09;1.019.750.000;;
17.02.2017 15:14;1.019.900.000;;
17.02.2017 15:19;1.019.750.000;;
17.02.2017 15:24;1.019.900.000;;
17.02.2017 15:29;1.019.750.000;;
17.02.2017 15:34;1.019.900.000;;
17.02.2017 15:39;1.019.900.000;;
