Time;pressure [hPa] #21;;
06.10.2017 14:02;1.014.000.000;;1.014.355.435
06.10.2017 14:07;1.014.000.000;;
06.10.2017 14:12;1.014.150.000;;
06.10.2017 14:17;1.014.000.000;;
06.10.2017 14:22;1.014.300.000;;
06.10.2017 14:27;1.014.000.000;;
06.10.2017 14:32;1.014.300.000;;
06.10.2017 14:37;1.014.150.000;;
06.10.2017 14:42;1.014.300.000;;
06.10.2017 14:47;1.014.300.000;;
06.10.2017 14:52;1.014.450.000;;
06.10.2017 14:57;1.014.600.000;;
06.10.2017 15:02;1.014.450.000;;
06.10.2017 15:07;1.014.450.000;;
06.10.2017 15:12;1.014.450.000;;
06.10.2017 15:17;1.014.450.000;;
06.10.2017 15:22;1.014.625.000;;
06.10.2017 15:27;1.014.625.000;;
06.10.2017 15:32;1.014.600.000;;
06.10.2017 15:37;1.014.300.000;;
06.10.2017 15:42;1.014.450.000;;
06.10.2017 15:47;1.014.450.000;;
06.10.2017 15:52;1.014.775.000;;
