Time;pressure [hPa] #21;;
06.07.2017 09:04;1.015.425.000;;1.015.117.424
06.07.2017 09:09;1.015.450.000;;
06.07.2017 09:14;1.015.450.000;;
06.07.2017 09:19;1.015.450.000;;
06.07.2017 09:24;1.015.450.000;;
06.07.2017 09:29;1.015.450.000;;
06.07.2017 09:34;1.015.275.000;;
06.07.2017 09:39;1.015.300.000;;
06.07.2017 09:44;1.015.425.000;;
06.07.2017 09:49;1.015.450.000;;
06.07.2017 09:54;1.015.275.000;;
06.07.2017 09:59;1.015.275.000;;
06.07.2017 10:04;1.015.300.000;;
06.07.2017 10:09;1.015.275.000;;
06.07.2017 10:14;1.015.300.000;;
06.07.2017 10:19;1.015.125.000;;
06.07.2017 10:24;1.015.125.000;;
06.07.2017 10:29;1.015.100.000;;
06.07.2017 10:34;1.015.150.000;;
06.07.2017 10:39;1.015.125.000;;
06.07.2017 10:44;1.015.000.000;;
06.07.2017 10:49;1.014.975.000;;
06.07.2017 10:54;1.014.825.000;;
06.07.2017 10:59;1.015.000.000;;
06.07.2017 11:04;1.014.975.000;;
06.07.2017 11:09;1.015.000.000;;
06.07.2017 11:14;1.014.825.000;;
06.07.2017 11:19;1.014.825.000;;
06.07.2017 11:24;1.014.650.000;;
06.07.2017 11:29;1.014.500.000;;
06.07.2017 11:34;1.014.650.000;;
06.07.2017 11:39;1.014.650.000;;
06.07.2017 11:44;1.014.825.000;;
